Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,164.94,165.51,164.81,165.47,5667800,163.27
2013-12-30,164.55,164.68,164.40,164.59,4043600,162.40
2013-12-27,164.76,164.92,164.22,164.47,6176900,162.28
2013-12-26,163.60,164.49,163.58,164.46,4971600,162.27
2013-12-24,162.72,163.26,162.59,163.16,2462000,160.99
2013-12-23,162.57,162.85,162.33,162.62,4992800,160.46
2013-12-20,161.62,162.53,161.61,162.01,7978200,159.86
2013-12-19,161.48,162.01,161.28,161.88,8018300,159.34
2013-12-18,159.16,161.79,158.11,161.76,15330700,159.22
2013-12-17,159.27,159.29,158.39,158.78,6001100,156.29
2013-12-16,158.37,159.37,158.25,158.90,7076500,156.40
2013-12-13,157.54,157.97,157.10,157.65,8886500,155.17
2013-12-12,158.21,158.43,157.07,157.47,7078700,155.00
2013-12-11,159.84,159.90,158.23,158.31,7906700,155.82
2013-12-10,159.77,160.19,159.64,159.72,4047600,157.21
2013-12-09,160.29,160.53,160.11,160.23,3967700,157.71
2013-12-06,159.53,160.18,159.13,160.16,6345300,157.65
2013-12-05,158.45,158.89,158.01,158.12,5823000,155.64
2013-12-04,158.46,159.52,157.83,158.76,7138200,156.27
2013-12-03,159.23,159.62,158.46,158.99,8660700,156.49
2013-12-02,160.76,160.84,159.71,159.92,5655700,157.41
2013-11-29,161.11,161.58,160.58,160.72,2887900,158.20
2013-11-27,160.79,160.94,160.41,160.85,6272800,158.32
2013-11-26,160.54,160.97,160.46,160.50,5231300,157.98
2013-11-25,160.81,160.85,160.30,160.61,5114400,158.09
2013-11-22,159.83,160.43,159.48,160.40,4466400,157.88
2013-11-21,159.29,159.88,159.17,159.86,4579900,157.35
2013-11-20,159.55,159.88,158.35,158.77,8401100,156.28
2013-11-19,159.58,159.93,159.09,159.33,5017300,156.83
2013-11-18,159.71,159.95,159.07,159.44,5236000,156.94
2013-11-15,158.57,159.30,158.48,159.30,6529100,156.80
2013-11-14,158.10,158.81,157.95,158.73,6931000,155.94
2013-11-13,156.52,158.12,156.50,158.06,5062900,155.29
2013-11-12,157.42,157.72,156.87,157.37,4094800,154.61
2013-11-11,157.33,157.73,157.15,157.61,3795200,154.84
2013-11-08,155.66,157.49,155.58,157.49,7594900,154.73
2013-11-07,157.72,157.80,155.68,155.85,10211000,153.11
2013-11-06,156.49,157.29,156.37,157.22,7548400,154.46
2013-11-05,155.28,156.18,154.87,155.89,5442800,153.15
2013-11-04,156.26,156.36,155.53,156.06,4042500,153.32
2013-11-01,155.58,156.15,155.08,155.86,5909900,153.12
2013-10-31,155.61,156.18,155.10,155.29,8157400,152.56
2013-10-30,156.73,156.87,155.37,155.87,6100200,153.13
2013-10-29,155.71,156.50,155.62,156.50,5779100,153.75
2013-10-28,155.20,155.65,154.99,155.37,4968800,152.64
2013-10-25,154.91,155.45,154.79,155.45,4565000,152.72
2013-10-24,154.19,154.95,154.10,154.80,5182600,152.08
2013-10-23,153.81,154.03,153.32,153.82,5428400,151.12
2013-10-22,154.03,154.86,153.82,154.25,7501700,151.54
2013-10-21,153.69,153.76,153.27,153.53,3588300,150.84
2013-10-18,153.66,153.80,152.89,153.60,7714400,150.90
2013-10-17,152.11,153.59,152.05,153.48,9916600,150.62
2013-10-16,152.37,153.56,152.24,153.52,8714800,150.66
2013-10-15,152.60,152.80,151.34,151.34,8144700,148.52
2013-10-14,151.19,152.88,151.08,152.80,6470100,149.95
2013-10-11,150.92,152.22,150.76,152.17,8186000,149.33
2013-10-10,149.14,151.01,149.09,150.96,12792200,148.15
2013-10-09,147.69,148.32,146.96,147.78,11075200,145.03
2013-10-08,149.00,149.14,147.50,147.53,10388000,144.78
2013-10-07,149.12,149.85,148.91,149.00,6081100,146.22
2013-10-04,149.68,150.56,149.43,150.43,6867800,147.63
2013-10-03,150.66,150.76,149.17,149.67,10949200,146.88
2013-10-02,150.90,151.10,150.15,150.98,8895300,148.17
2013-10-01,151.00,151.77,150.77,151.62,8616300,148.79
2013-09-30,150.79,151.54,150.45,151.00,9426100,148.19
2013-09-27,152.30,152.44,151.76,152.21,6634800,149.37
2013-09-26,152.70,153.54,152.47,152.95,5026300,150.10
2013-09-25,153.26,153.39,152.19,152.42,7187200,149.58
2013-09-24,153.74,154.02,152.95,153.06,5774900,150.21
2013-09-23,154.11,154.32,153.32,153.71,8662000,150.85
2013-09-20,156.16,156.19,154.30,154.30,9381000,151.42
2013-09-19,156.87,156.92,156.22,156.32,7626600,153.11
2013-09-18,155.16,157.06,154.65,156.69,9637300,153.47
2013-09-17,155.02,155.51,154.98,155.29,4517600,152.10
2013-09-16,155.33,155.49,154.66,154.94,6569000,151.76
2013-09-13,153.34,153.80,153.21,153.69,4829600,150.53
2013-09-12,153.33,153.41,152.78,153.03,5555700,149.89
2013-09-11,151.82,153.18,151.77,153.15,7044000,150.00
2013-09-10,151.47,151.82,151.10,151.79,7917100,148.67
2013-09-09,149.50,150.78,149.48,150.47,4402500,147.38
2013-09-06,149.70,149.97,147.77,149.09,9001900,146.03
2013-09-05,149.18,149.71,149.02,149.12,6021300,146.06
2013-09-04,148.02,149.41,147.82,149.18,4577700,146.11
2013-09-03,148.88,149.20,147.61,148.11,5430300,145.07
2013-08-30,148.42,148.42,147.43,147.85,6326800,144.81
2013-08-29,148.02,148.98,147.82,148.25,4695500,145.20
2013-08-28,147.42,148.44,147.37,148.04,4842500,145.00
2013-08-27,148.19,148.74,147.41,147.50,11440200,144.47
2013-08-26,149.83,150.27,149.19,149.21,5770200,146.14
2013-08-23,149.59,150.01,149.06,149.83,9601600,146.75
2013-08-22,148.86,149.61,148.77,149.40,4227000,146.33
2013-08-21,149.44,149.92,148.50,148.64,9497100,145.59
2013-08-20,149.91,150.41,149.56,149.75,3845900,146.67
2013-08-19,150.30,150.72,149.66,149.74,4174100,146.66
2013-08-16,150.58,151.06,150.19,150.50,7035200,147.41
2013-08-15,152.10,152.10,150.97,151.12,10021900,147.64
2013-08-14,154.27,154.43,153.11,153.32,6372100,149.79
2013-08-13,154.42,154.97,153.34,154.44,4752500,150.88
2013-08-12,153.45,154.30,153.35,154.03,3697300,150.48
2013-08-09,154.49,154.95,153.33,154.11,4550300,150.56
2013-08-08,155.33,155.45,153.99,154.69,5071200,151.13
2013-08-07,154.32,154.75,154.01,154.54,4341600,150.98
2013-08-06,155.37,155.38,154.41,154.85,3582300,151.28
2013-08-05,155.91,156.01,155.50,155.79,3077100,152.20
