Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,87.55,87.96,87.52,87.96,24890500,87.16
2013-12-30,87.39,87.51,87.14,87.39,18983700,86.60
2013-12-27,87.85,87.90,87.41,87.52,15827400,86.73
2013-12-26,87.61,87.81,87.44,87.74,15241100,86.94
2013-12-24,87.43,87.51,87.27,87.45,13852500,86.66
2013-12-23,87.21,87.41,86.95,87.41,28181800,86.62
2013-12-20,85.79,86.68,85.73,86.50,40475400,85.72
2013-12-19,86.00,86.01,85.52,85.90,44964100,84.85
2013-12-18,85.25,86.22,84.05,86.14,68387200,85.09
2013-12-17,85.32,85.53,84.99,85.15,24454900,84.11
2013-12-16,85.27,85.81,85.21,85.32,24902500,84.28
2013-12-13,85.36,85.40,84.71,84.85,34072000,83.81
2013-12-12,85.21,85.42,84.90,84.96,33662600,83.92
2013-12-11,86.28,86.40,85.06,85.18,36830600,84.14
2013-12-10,86.21,86.45,86.12,86.29,26965900,85.24
2013-12-09,86.35,86.53,86.20,86.35,22590000,85.30
2013-12-06,86.10,86.18,85.59,86.00,36842900,84.95
2013-12-05,85.56,85.66,85.17,85.38,39829300,84.34
2013-12-04,85.05,85.77,84.78,85.49,37193200,84.45
2013-12-03,85.42,85.64,85.08,85.41,37147000,84.37
2013-12-02,85.83,85.96,85.35,85.48,26354600,84.44
2013-11-29,85.56,85.84,85.47,85.73,16708900,84.68
2013-11-27,84.80,85.24,84.73,85.22,21638100,84.18
2013-11-26,84.21,84.84,84.03,84.63,26621000,83.60
2013-11-25,84.29,84.38,83.98,84.19,21695100,83.16
2013-11-22,83.68,84.02,83.62,83.99,25361300,82.96
2013-11-21,83.05,83.61,82.98,83.54,28125000,82.52
2013-11-20,83.12,83.43,82.46,82.70,32177400,81.69
2013-11-19,83.09,83.49,82.76,82.90,25545300,81.89
2013-11-18,83.94,84.11,82.98,83.14,31679600,82.13
2013-11-15,83.82,83.96,83.61,83.96,20511300,82.94
2013-11-14,83.32,83.86,83.14,83.80,31101200,82.78
2013-11-13,82.00,83.55,82.00,83.54,31345900,82.52
2013-11-12,82.16,82.66,82.12,82.54,20108500,81.53
2013-11-11,82.42,82.64,82.14,82.41,24822900,81.40
2013-11-08,81.74,82.56,81.51,82.54,31470500,81.53
2013-11-07,83.01,83.13,81.37,81.44,52173200,80.45
2013-11-06,83.37,83.40,82.73,83.00,25576800,81.99
2013-11-05,82.61,83.22,82.37,83.02,27975600,82.01
2013-11-04,83.06,83.07,82.64,82.93,16834000,81.92
2013-11-01,83.07,83.17,82.40,82.81,30867800,81.80
2013-10-31,82.77,83.30,82.48,82.79,31309900,81.78
2013-10-30,83.35,83.49,82.58,82.98,33535500,81.97
2013-10-29,83.20,83.26,82.70,83.06,36878100,82.05
2013-10-28,82.91,83.05,82.55,82.92,28618400,81.91
2013-10-25,83.08,83.28,82.50,82.90,35824500,81.89
2013-10-24,82.00,82.48,81.88,82.31,23155100,81.31
2013-10-23,82.05,82.20,81.55,81.95,38021300,80.95
2013-10-22,82.65,82.90,81.93,82.45,43944800,81.44
2013-10-21,82.34,82.54,82.07,82.33,31176900,81.33
2013-10-18,81.58,82.18,81.35,82.15,39628200,81.15
2013-10-17,80.02,80.87,79.95,80.84,32193500,79.85
2013-10-16,79.85,80.42,79.79,80.38,46735900,79.40
2013-10-15,79.73,80.11,79.38,79.48,38684000,78.51
2013-10-14,78.74,79.79,78.68,79.79,31471900,78.82
2013-10-11,78.41,79.29,78.40,79.23,25214100,78.26
2013-10-10,77.81,78.79,77.79,78.61,48062700,77.65
2013-10-09,77.40,77.44,76.35,76.98,64526700,76.04
2013-10-08,78.74,78.81,77.19,77.22,43660700,76.28
2013-10-07,78.70,79.35,78.67,78.74,20227100,77.78
2013-10-04,78.72,79.51,78.65,79.40,22852700,78.43
2013-10-03,79.55,79.72,78.30,78.72,42998200,77.76
2013-10-02,79.14,79.76,79.06,79.65,25503800,78.68
2013-10-01,78.89,79.72,78.85,79.68,33129700,78.71
2013-09-30,78.25,79.09,78.00,78.88,28031900,77.92
2013-09-27,78.71,79.21,78.59,79.07,25151600,78.10
2013-09-26,78.88,79.36,78.85,79.17,22421700,78.20
2013-09-25,78.89,79.00,78.40,78.56,22746400,77.60
2013-09-24,79.00,79.25,78.57,78.83,21871300,77.87
2013-09-23,79.32,79.41,78.46,78.83,30319400,77.87
2013-09-20,79.45,79.54,78.95,78.99,26328900,78.03
2013-09-19,79.56,79.69,79.36,79.50,26435700,78.29
2013-09-18,78.49,79.47,78.33,79.31,31714700,78.11
2013-09-17,78.02,78.47,77.98,78.37,27174300,77.18
2013-09-16,78.72,78.72,77.67,77.85,25704300,76.67
2013-09-13,78.09,78.14,77.64,78.06,16932500,76.88
2013-09-12,78.08,78.25,77.85,78.01,18332700,76.83
2013-09-11,77.69,78.11,77.59,78.06,28132900,76.88
2013-09-10,78.28,78.32,77.92,78.21,27619400,77.02
2013-09-09,77.26,77.96,77.23,77.83,25161900,76.65
2013-09-06,77.10,77.34,76.05,76.93,27715100,75.76
2013-09-05,76.76,77.06,76.73,76.84,17809700,75.67
2013-09-04,76.16,76.84,75.93,76.71,27142900,75.55
2013-09-03,76.09,76.44,75.54,75.90,27241500,74.75
2013-08-30,76.04,76.04,75.20,75.47,26228500,74.33
2013-08-29,75.41,76.34,75.30,75.96,27287900,74.81
2013-08-28,75.05,75.75,75.05,75.43,20490400,74.29
2013-08-27,75.80,76.18,74.96,75.14,40068900,74.00
2013-08-26,76.73,77.28,76.55,76.71,27525500,75.55
2013-08-23,76.70,76.77,76.40,76.67,20697300,75.51
2013-08-22,75.75,76.21,75.71,76.16,17269500,75.01
2013-08-21,75.44,76.09,75.14,75.42,30705100,74.28
2013-08-20,75.49,76.03,75.43,75.68,18842800,74.53
2013-08-19,75.49,76.13,75.33,75.35,29586900,74.21
2013-08-16,75.52,75.87,75.35,75.48,23825000,74.34
2013-08-15,75.95,75.99,75.29,75.51,39406600,74.36
2013-08-14,77.07,77.18,76.70,76.81,29921000,75.65
2013-08-13,76.77,77.27,76.22,77.10,23917000,75.93
2013-08-12,76.20,76.81,76.19,76.67,20515900,75.51
2013-08-09,76.67,76.94,76.27,76.49,18558500,75.33
2013-08-08,76.84,76.98,76.30,76.80,19994000,75.64
2013-08-07,76.34,76.57,75.87,76.42,20281200,75.26
2013-08-06,76.92,76.99,76.25,76.56,23675400,75.40
2013-08-05,76.93,77.08,76.78,77.02,15462800,75.85
2013-08-02,76.55,76.99,76.38,76.97,18105300,75.80
2013-08-01,76.29,76.65,76.21,76.54,16880000,75.38
2013-07-31,75.78,76.21,75.63,75.77,25007600,74.62
2013-07-30,75.50,75.95,75.35,75.63,24104600,74.48
2013-07-29,75.22,75.54,75.03,75.23,20958400,74.09
2013-07-26,74.67,75.38,74.55,75.37,20885600,74.23
2013-07-25,74.85,75.06,74.46,74.97,23162200,73.83
